,LogFileRelativePath,Sample,Scanner,Software,Voxelsize,Voxelsize_rounded,Source,Camera,Voltage,Current,Filter,Stacks,NumberOfProjections,CameraSize,RotationStep,Wide,ThreeSixtyScan,RingRemoval,Beamhardening,GrayValueMax,Exposure,Averaging,Duration,Version,Scan date,Time passed,Days passed
37,Aaldijk Beckenboden/Foetus02/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",85.0,120.0,Al 1mm,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.04,850,,6678.0,"('NRecon', '2.1.0.1')",2021-10-25 18:46:14,0 days 00:00:00,0 days
24,Aaldijk Beckenboden/Foetus02_Lugol_05pct_007d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.04,950,,6643.0,"('NRecon', '2.1.0.1')",2021-11-08 16:12:19,13 days 21:26:05,14 days
16,Aaldijk Beckenboden/Foetus02_Lugol_10pct_014d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.04,1450,,9394.0,"('NRecon', '2.1.0.1')",2021-11-15 17:32:52,20 days 22:46:38,21 days
18,Aaldijk Beckenboden/Foetus02_Lugol_10pct_025d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,1482,,6319.0,"('NRecon', '2.1.0.1')",2021-11-26 12:25:21,31 days 17:39:07,32 days
93,Aaldijk Beckenboden/Foetus02_Lugol_15pct_044d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,873,,4651.0,"('NRecon', '2.1.0.1')",2021-12-15 17:27:57,50 days 22:41:43,51 days
53,Aaldijk Beckenboden/Foetus02_Lugol_15pct_053d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,873,,4675.0,"('NRecon', '2.1.0.1')",2021-12-24 11:00:51,59 days 16:14:37,60 days
54,Aaldijk Beckenboden/Foetus02_Lugol_15pct_053d/proj/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.055,873,,4675.0,"('NRecon', '2.1.0.1')",2021-12-24 11:00:51,59 days 16:14:37,60 days
1,Aaldijk Beckenboden/Foetus02_Lugol_15pct_060d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,873,,4641.0,"('NRecon', '2.1.0.1')",2021-12-31 10:56:23,66 days 16:10:09,67 days
51,Aaldijk Beckenboden/Foetus02_Lugol_15pct_070d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4736.0,"('NRecon', '2.1.0.1')",2022-01-10 11:27:14,76 days 16:41:00,77 days
41,Aaldijk Beckenboden/Foetus02_Lugol_15pct_077d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4756.0,"('NRecon', '2.1.0.1')",2022-01-17 11:23:53,83 days 16:37:39,84 days
3,Aaldijk Beckenboden/Foetus02_Lugol_15pct_088d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4740.0,"('NRecon', '2.1.0.1')",2022-01-28 10:50:39,94 days 16:04:25,95 days
45,Aaldijk Beckenboden/Foetus02_Lugol_15pct_098d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4752.0,"('NRecon', '2.1.0.1')",2022-02-07 16:09:05,104 days 21:22:51,105 days
9,Aaldijk Beckenboden/Foetus02_Lugol_15pct_108d/rec/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4431.0,"('NRecon', '2.1.0.1')",2022-02-17 16:36:39,114 days 21:50:25,115 days
11,Aaldijk Beckenboden/Foetus02_Lugol_15pct_108d/rec_11um/Foetus02_rec.log,Foetus02,SkyScan 2214,1.8,10.999632,11.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,3,3601,"(3072, 1944)",0.1,False,True,1.0,,0.055,900,,10744.0,"('NRecon', '2.1.0.1')",2022-02-17 20:17:46,115 days 01:31:32,115 days
43,Aaldijk Beckenboden/Foetus02_Lugol_15pct_141d/rec/Foetus02_Lugol_15pct_141d_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.04,900,,7046.0,"('NRecon', '2.1.0.1')",2022-03-22 12:55:00,147 days 18:08:46,148 days
66,Aaldijk Beckenboden/Foetus02_Lugol_15pct_152d/rec/Foetus02_Lugol_15pct_152d_rec.log,Foetus02,SkyScan 2214,1.8,20.000477,20.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,1,1471,"(3072, 1944)",0.15,False,False,1.0,,0.04,900,,4751.0,"('NRecon', '2.1.0.1')",2022-04-01 12:33:54,157 days 17:47:40,158 days
68,Aaldijk Beckenboden/Foetus02_Lugol_15pct_152d/rec_11um/Foetus02_Lugol_15pct_152d_rec.log,Foetus02,SkyScan 2214,1.8,10.999632,11.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",80.0,120.0,Al 1mm,3,3601,"(3072, 1944)",0.1,False,True,,,0.055,900,,11497.0,"('NRecon', '2.1.0.1')",2022-04-01 16:15:22,157 days 21:29:08,158 days
99,Aaldijk Beckenboden/Mouse01_Nativ_20220905/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1199,,8411.0,"('NRecon', '2.1.0.1')",2022-09-05 12:05:31,0 days 00:00:00,0 days
75,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20220914/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1079,,7799.0,"('NRecon', '2.1.0.1')",2022-09-14 11:48:21,8 days 23:42:50,9 days
101,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20220921/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1200,,8361.0,"('NRecon', '2.1.0.1')",2022-09-21 11:45:53,15 days 23:40:22,16 days
20,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20220928/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1061,,7728.0,"('NRecon', '2.1.0.1')",2022-09-28 12:46:39,23 days 00:41:08,23 days
71,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221017/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1647,,10353.0,"('NRecon', '2.1.0.1')",2022-10-17 13:08:30,42 days 01:02:59,42 days
14,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221027/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1123,,8033.0,"('NRecon', '2.1.0.1')",2022-10-27 14:58:04,52 days 02:52:33,52 days
60,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221107/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,801,,7065.0,"('NRecon', '2.1.0.1')",2022-11-07 14:10:21,63 days 02:04:50,63 days
69,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221117/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,784,,6560.0,"('NRecon', '2.1.0.1')",2022-11-17 11:34:45,72 days 23:29:14,73 days
105,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221128/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,784,,6529.0,"('NRecon', '2.1.0.1')",2022-11-28 12:20:20,84 days 00:14:49,84 days
35,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221209/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(2457, 1944)",0.1,False,False,1.0,,0.1,705,,5796.0,"('NRecon', '2.1.0.1')",2022-12-09 11:03:12,94 days 22:57:41,95 days
56,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20221223/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,1077,,7748.0,"('NRecon', '2.1.0.1')",2022-12-23 13:45:40,109 days 01:40:09,109 days
95,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20230104/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,910,,7142.0,"('NRecon', '2.1.0.1')",2023-01-04 11:59:18,120 days 23:53:47,121 days
47,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20230113/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,870,,6355.0,"('NRecon', '2.1.0.1')",2023-01-13 11:47:15,129 days 23:41:44,130 days
77,Aaldijk Beckenboden/Mouse01_Lugol_15pct_20230125/rec/Mouse01_rec.log,Mouse01,SkyScan 2214,1.8,15.000176,15.0,Hamamatsu L10711,"FlatPanel: 2...50um, 140mm max.FOV",60.0,140.0,False,1,2205,"(3072, 1944)",0.1,False,False,1.0,,0.1,633,,5872.0,"('NRecon', '2.1.0.1')",2023-01-25 11:23:16,141 days 23:17:45,142 days
